label,source,snippet,status
perturbation pair_gate scale_1.00 perturbed_acct,influence_perturbation_summary.csv,1.581 \pm 0.071,PASS
perturbation delayed_lever scale_4.00 perturbed_agent_time_cf,influence_perturbation_summary.csv,1.959 \pm 0.028,PASS
perturbation delayed_lever scale_4.00 perturbed_acct,influence_perturbation_summary.csv,1.963 \pm 0.024,PASS
perturbation pair_gate scale_4.00 perturbed_agent_time_cf,influence_perturbation_summary.csv,1.938 \pm 0.039,PASS
perturbation pair_gate scale_4.00 perturbed_acct,influence_perturbation_summary.csv,1.944 \pm 0.043,PASS
perturbation delayed_lever noise_0.10 perturbed_agent_time_cf,influence_perturbation_summary.csv,1.794 \pm 0.052,PASS
perturbation delayed_lever noise_0.10 perturbed_acct,influence_perturbation_summary.csv,1.821 \pm 0.058,PASS
perturbation pair_gate noise_0.10 perturbed_agent_time_cf,influence_perturbation_summary.csv,1.421 \pm 0.089,PASS
perturbation pair_gate noise_0.10 perturbed_acct,influence_perturbation_summary.csv,1.488 \pm 0.073,PASS
perturbation delayed_lever noise_0.25 perturbed_agent_time_cf,influence_perturbation_summary.csv,1.787 \pm 0.062,PASS
perturbation delayed_lever noise_0.25 perturbed_acct,influence_perturbation_summary.csv,1.812 \pm 0.058,PASS
perturbation pair_gate noise_0.25 perturbed_agent_time_cf,influence_perturbation_summary.csv,1.423 \pm 0.080,PASS
perturbation pair_gate noise_0.25 perturbed_acct,influence_perturbation_summary.csv,1.448 \pm 0.113,PASS
perturbation stat delayed_lever scale_0.25,influence_perturbation_stat_tests.csv,0.342,PASS
perturbation stat delayed_lever scale_0.25 interval,influence_perturbation_stat_tests.csv,"[0.313,0.375]",PASS
perturbation stat pair_gate scale_0.25,influence_perturbation_stat_tests.csv,0.145,PASS
perturbation stat pair_gate scale_0.25 interval,influence_perturbation_stat_tests.csv,"[0.121,0.166]",PASS
perturbation stat delayed_lever scale_4.00,influence_perturbation_stat_tests.csv,0.005,PASS
perturbation stat delayed_lever scale_4.00 interval,influence_perturbation_stat_tests.csv,"[-0.000,0.010]",PASS
perturbation stat pair_gate scale_4.00,influence_perturbation_stat_tests.csv,0.007,PASS
perturbation stat pair_gate scale_4.00 interval,influence_perturbation_stat_tests.csv,"[-0.001,0.016]",PASS
perturbation stat delayed_lever noise_0.10,influence_perturbation_stat_tests.csv,0.027,PASS
perturbation stat delayed_lever noise_0.10 interval,influence_perturbation_stat_tests.csv,"[0.015,0.042]",PASS
perturbation stat pair_gate noise_0.10,influence_perturbation_stat_tests.csv,0.067,PASS
perturbation stat pair_gate noise_0.10 interval,influence_perturbation_stat_tests.csv,"[0.043,0.094]",PASS
sensitivity delayed_lever abs_lam0.00_beta0.75,acct_sensitivity_summary.csv,1.781 \pm 0.043,PASS
sensitivity delayed_lever abs_lam0.50_beta0.75,acct_sensitivity_summary.csv,1.833 \pm 0.036,PASS
sensitivity delayed_lever abs_lam0.90_beta0.25,acct_sensitivity_summary.csv,1.805 \pm 0.041,PASS
sensitivity delayed_lever abs_lam0.90_beta0.75,acct_sensitivity_summary.csv,1.825 \pm 0.037,PASS
sensitivity delayed_lever abs_lam0.90_beta1.25,acct_sensitivity_summary.csv,1.859 \pm 0.048,PASS
sensitivity delayed_lever abs_lam0.99_beta0.75,acct_sensitivity_summary.csv,1.827 \pm 0.038,PASS
sensitivity delayed_lever dir_lam0.90_beta0.75,acct_sensitivity_summary.csv,1.837 \pm 0.045,PASS
sensitivity delayed_lever dir_lam0.90_beta1.25,acct_sensitivity_summary.csv,1.882 \pm 0.035,PASS
sensitivity pair_gate abs_lam0.00_beta0.75,acct_sensitivity_summary.csv,1.498 \pm 0.115,PASS
sensitivity pair_gate abs_lam0.50_beta0.75,acct_sensitivity_summary.csv,1.571 \pm 0.085,PASS
sensitivity pair_gate abs_lam0.90_beta0.25,acct_sensitivity_summary.csv,1.481 \pm 0.067,PASS
sensitivity pair_gate abs_lam0.90_beta0.75,acct_sensitivity_summary.csv,1.581 \pm 0.083,PASS
sensitivity pair_gate abs_lam0.90_beta1.25,acct_sensitivity_summary.csv,1.660 \pm 0.045,PASS
sensitivity pair_gate abs_lam0.99_beta0.75,acct_sensitivity_summary.csv,1.571 \pm 0.086,PASS
sensitivity pair_gate dir_lam0.90_beta0.75,acct_sensitivity_summary.csv,1.620 \pm 0.094,PASS
sensitivity pair_gate dir_lam0.90_beta1.25,acct_sensitivity_summary.csv,1.701 \pm 0.063,PASS
mpe_delayed_summary.csv shared greedy_final,mpe_delayed_summary.csv,-1.373 \pm 0.385,PASS
mpe_delayed_summary.csv shared sample_final,mpe_delayed_summary.csv,-1.196 \pm 0.347,PASS
mpe_delayed_summary.csv learned_agent_time_cf greedy_final,mpe_delayed_summary.csv,-0.841 \pm 0.185,PASS
mpe_delayed_summary.csv learned_agent_time_cf sample_final,mpe_delayed_summary.csv,-0.848 \pm 0.263,PASS
mpe_delayed_summary.csv learned_acct greedy_final,mpe_delayed_summary.csv,-0.988 \pm 0.167,PASS
mpe_delayed_summary.csv learned_acct sample_final,mpe_delayed_summary.csv,-0.819 \pm 0.141,PASS
mpe_ppo_summary.csv ppo_shared greedy_final,mpe_ppo_summary.csv,-0.964 \pm 0.171,PASS
mpe_ppo_summary.csv ppo_shared sample_final,mpe_ppo_summary.csv,-0.978 \pm 0.150,PASS
mpe_ppo_summary.csv ppo_learned_agent_time_cf greedy_final,mpe_ppo_summary.csv,-0.957 \pm 0.166,PASS
mpe_ppo_summary.csv ppo_learned_agent_time_cf sample_final,mpe_ppo_summary.csv,-0.968 \pm 0.191,PASS
mpe_ppo_summary.csv ppo_learned_agent_shapley greedy_final,mpe_ppo_summary.csv,-0.926 \pm 0.142,PASS
mpe_ppo_summary.csv ppo_learned_agent_shapley sample_final,mpe_ppo_summary.csv,-0.945 \pm 0.155,PASS
mpe_ppo_summary.csv ppo_learned_acct greedy_final,mpe_ppo_summary.csv,-0.969 \pm 0.170,PASS
mpe_ppo_summary.csv ppo_learned_acct sample_final,mpe_ppo_summary.csv,-0.955 \pm 0.184,PASS
mpe_ppo_summary.csv ppo_learned_directional_acct greedy_final,mpe_ppo_summary.csv,-0.974 \pm 0.140,PASS
mpe_ppo_summary.csv ppo_learned_directional_acct sample_final,mpe_ppo_summary.csv,-0.988 \pm 0.190,PASS
mpe_mappo_summary.csv mappo_shared_gae greedy_final,mpe_mappo_summary.csv,-0.912 \pm 0.106,PASS
mpe_mappo_summary.csv mappo_shared_gae sample_final,mpe_mappo_summary.csv,-0.891 \pm 0.158,PASS
mpe_mappo_summary.csv mappo_learned_agent_time_cf greedy_final,mpe_mappo_summary.csv,-0.938 \pm 0.171,PASS
mpe_mappo_summary.csv mappo_learned_agent_time_cf sample_final,mpe_mappo_summary.csv,-0.948 \pm 0.122,PASS
mpe_mappo_summary.csv mappo_learned_acct greedy_final,mpe_mappo_summary.csv,-1.037 \pm 0.235,PASS
mpe_mappo_summary.csv mappo_learned_acct sample_final,mpe_mappo_summary.csv,-0.913 \pm 0.153,PASS
mpe_mappo_summary.csv mappo_gae_plus_agent_time_cf greedy_final,mpe_mappo_summary.csv,-0.908 \pm 0.101,PASS
mpe_mappo_summary.csv mappo_gae_plus_agent_time_cf sample_final,mpe_mappo_summary.csv,-0.895 \pm 0.112,PASS
mpe_mappo_summary.csv mappo_gae_plus_acct greedy_final,mpe_mappo_summary.csv,-0.911 \pm 0.098,PASS
mpe_mappo_summary.csv mappo_gae_plus_acct sample_final,mpe_mappo_summary.csv,-0.919 \pm 0.144,PASS
mpe_delayed_stat_tests.csv learned_acct - shared sample_return,mpe_delayed_stat_tests.csv,0.377,PASS
mpe_delayed_stat_tests.csv learned_acct - shared sample_return interval,mpe_delayed_stat_tests.csv,"[0.155,0.647]",PASS
mpe_delayed_stat_tests.csv learned_acct - shared greedy_return,mpe_delayed_stat_tests.csv,0.385,PASS
mpe_delayed_stat_tests.csv learned_acct - shared greedy_return interval,mpe_delayed_stat_tests.csv,"[0.051,0.727]",PASS
mpe_ppo_stat_tests.csv ppo_learned_acct - ppo_shared sample_return,mpe_ppo_stat_tests.csv,0.023,PASS
mpe_ppo_stat_tests.csv ppo_learned_acct - ppo_shared sample_return interval,mpe_ppo_stat_tests.csv,"[-0.021,0.069]",PASS
mpe_ppo_stat_tests.csv ppo_learned_acct - ppo_shared greedy_return,mpe_ppo_stat_tests.csv,-0.006,PASS
mpe_ppo_stat_tests.csv ppo_learned_acct - ppo_shared greedy_return interval,mpe_ppo_stat_tests.csv,"[-0.141,0.136]",PASS
mpe_ppo_stat_tests.csv ppo_learned_directional_acct - ppo_shared sample_return,mpe_ppo_stat_tests.csv,-0.010,PASS
mpe_ppo_stat_tests.csv ppo_learned_directional_acct - ppo_shared sample_return interval,mpe_ppo_stat_tests.csv,"[-0.085,0.065]",PASS
mpe_ppo_stat_tests.csv ppo_learned_directional_acct - ppo_shared greedy_return,mpe_ppo_stat_tests.csv,-0.011,PASS
mpe_ppo_stat_tests.csv ppo_learned_directional_acct - ppo_shared greedy_return interval,mpe_ppo_stat_tests.csv,"[-0.107,0.084]",PASS
mpe_mappo_stat_tests.csv mappo_learned_acct - mappo_shared_gae greedy_return,mpe_mappo_stat_tests.csv,-0.125,PASS
mpe_mappo_stat_tests.csv mappo_learned_acct - mappo_shared_gae greedy_return interval,mpe_mappo_stat_tests.csv,"[-0.282,-0.027]",PASS
mpe_mappo_stat_tests.csv mappo_gae_plus_acct - mappo_shared_gae greedy_return,mpe_mappo_stat_tests.csv,0.001,PASS
mpe_mappo_stat_tests.csv mappo_gae_plus_acct - mappo_shared_gae greedy_return interval,mpe_mappo_stat_tests.csv,"[-0.035,0.035]",PASS
mpe_mappo_stat_tests.csv mappo_gae_plus_acct - mappo_shared_gae sample_return,mpe_mappo_stat_tests.csv,-0.028,PASS
mpe_mappo_stat_tests.csv mappo_gae_plus_acct - mappo_shared_gae sample_return interval,mpe_mappo_stat_tests.csv,"[-0.083,0.025]",PASS
mpe_counterfactual_quality_summary.csv q_r2,mpe_counterfactual_quality_summary.csv,-0.052 \pm 0.503,PASS
mpe_counterfactual_quality_summary.csv q_mse,mpe_counterfactual_quality_summary.csv,0.036 \pm 0.014,PASS
mpe_counterfactual_quality_summary.csv v_r2,mpe_counterfactual_quality_summary.csv,-0.037 \pm 0.459,PASS
mpe_counterfactual_quality_summary.csv v_mse,mpe_counterfactual_quality_summary.csv,0.035 \pm 0.011,PASS
mpe_counterfactual_quality_summary.csv mean_abs_influence,mpe_counterfactual_quality_summary.csv,0.0146 \pm 0.0017,PASS
mpe_counterfactual_quality_600_summary.csv q_r2,mpe_counterfactual_quality_600_summary.csv,0.282 \pm 0.161,PASS
mpe_counterfactual_quality_600_summary.csv v_r2,mpe_counterfactual_quality_600_summary.csv,0.310 \pm 0.159,PASS
mpe_counterfactual_quality_600_summary.csv time_abs_influence_abs_gae_corr,mpe_counterfactual_quality_600_summary.csv,-0.021 \pm 0.092,PASS
mpe_counterfactual_quality_600_summary.csv signed_influence_gae_corr,mpe_counterfactual_quality_600_summary.csv,-0.024 \pm 0.020,PASS
mpe_counterfactual_quality_600_summary.csv acct_credit_gae_corr,mpe_counterfactual_quality_600_summary.csv,0.109 \pm 0.019,PASS
localization acct relevant_mass,credit_localization.csv,0.994,PASS
localization acct relevant_coverage,credit_localization.csv,0.756,PASS
localization acct irrelevant_active,credit_localization.csv,0.007,PASS
localization agent_time_cf relevant_mass,credit_localization.csv,0.993,PASS
localization agent_time_cf relevant_coverage,credit_localization.csv,0.749,PASS
localization agent_time_cf irrelevant_active,credit_localization.csv,0.000,PASS
localization cf_transport relevant_mass,credit_localization.csv,0.993,PASS
localization cf_transport relevant_coverage,credit_localization.csv,0.756,PASS
localization cf_transport irrelevant_active,credit_localization.csv,0.007,PASS
localization directional_acct relevant_mass,credit_localization.csv,0.994,PASS
localization directional_acct relevant_coverage,credit_localization.csv,0.756,PASS
localization directional_acct irrelevant_active,credit_localization.csv,0.007,PASS
localization final_step_cf relevant_mass,credit_localization.csv,0.249,PASS
localization final_step_cf relevant_coverage,credit_localization.csv,0.042,PASS
localization final_step_cf irrelevant_active,credit_localization.csv,0.000,PASS
localization learned_acct relevant_mass,credit_localization.csv,0.786,PASS
localization learned_acct relevant_coverage,credit_localization.csv,1.000,PASS
localization learned_acct irrelevant_active,credit_localization.csv,1.000,PASS
localization learned_agent_time_cf relevant_mass,credit_localization.csv,0.769,PASS
localization learned_agent_time_cf relevant_coverage,credit_localization.csv,1.000,PASS
localization learned_agent_time_cf irrelevant_active,credit_localization.csv,1.000,PASS
localization learned_cf_transport relevant_mass,credit_localization.csv,0.761,PASS
localization learned_cf_transport relevant_coverage,credit_localization.csv,0.999,PASS
localization learned_cf_transport irrelevant_active,credit_localization.csv,0.999,PASS
localization learned_directional_acct relevant_mass,credit_localization.csv,0.777,PASS
localization learned_directional_acct relevant_coverage,credit_localization.csv,1.000,PASS
localization learned_directional_acct irrelevant_active,credit_localization.csv,1.000,PASS
localization learned_pruned_acct relevant_mass,credit_localization.csv,0.955,PASS
localization learned_pruned_acct relevant_coverage,credit_localization.csv,0.804,PASS
localization learned_pruned_acct irrelevant_active,credit_localization.csv,0.033,PASS
localization learned_return_eq_cf_transport relevant_mass,credit_localization.csv,0.601,PASS
localization learned_return_eq_cf_transport relevant_coverage,credit_localization.csv,0.758,PASS
localization learned_return_eq_cf_transport irrelevant_active,credit_localization.csv,0.758,PASS
localization return_eq_cf_transport relevant_mass,credit_localization.csv,0.758,PASS
localization return_eq_cf_transport relevant_coverage,credit_localization.csv,0.649,PASS
localization return_eq_cf_transport irrelevant_active,credit_localization.csv,0.000,PASS
localization sampled_agent_time_shapley relevant_mass,credit_localization.csv,1.000,PASS
localization sampled_agent_time_shapley relevant_coverage,credit_localization.csv,0.971,PASS
localization sampled_agent_time_shapley irrelevant_active,credit_localization.csv,0.000,PASS
localization shared relevant_mass,credit_localization.csv,0.225,PASS
localization shared relevant_coverage,credit_localization.csv,0.999,PASS
localization shared irrelevant_active,credit_localization.csv,0.999,PASS
localization uniform_transport relevant_mass,credit_localization.csv,0.219,PASS
localization uniform_transport relevant_coverage,credit_localization.csv,0.999,PASS
localization uniform_transport irrelevant_active,credit_localization.csv,0.999,PASS
lbf_ppo_summary.csv lbf_ppo_shared greedy_final,lbf_ppo_summary.csv,0.055 \pm 0.049,PASS
lbf_ppo_summary.csv lbf_ppo_learned_agent_time_cf greedy_final,lbf_ppo_summary.csv,0.086 \pm 0.062,PASS
lbf_ppo_summary.csv lbf_ppo_learned_acct greedy_final,lbf_ppo_summary.csv,0.063 \pm 0.044,PASS
rware_ppo_summary.csv rware_ppo_shared greedy_final,rware_ppo_summary.csv,0.000 \pm 0.000,PASS
rware_ppo_summary.csv rware_ppo_shared sample_final,rware_ppo_summary.csv,0.000 \pm 0.000,PASS
rware_ppo_summary.csv rware_ppo_learned_agent_time_cf greedy_final,rware_ppo_summary.csv,0.000 \pm 0.000,PASS
rware_ppo_summary.csv rware_ppo_learned_acct greedy_final,rware_ppo_summary.csv,0.000 \pm 0.000,PASS
epymarl smoke commit,epymarl_smoke.json,cbc38c09588064eab978501d0f12c2cf58fa7fc2,PASS
epymarl smoke env key,epymarl_smoke.json,lbforaging:Foraging-5x5-2p-1f-v3,PASS
epymarl smoke time limit,epymarl_smoke.json,time\_limit=5,PASS
epymarl smoke t max,epymarl_smoke.json,t\_max=20,PASS
epymarl acct smoke mode,epymarl_acct_smoke.json,policy-confidence-proxy,PASS
epymarl acct smoke use flag,epymarl_acct_smoke.json,use\_acct=True,PASS
epymarl learned qhead smoke mode,epymarl_acct_qhead_smoke.json,learned-q-head,PASS
epymarl learned qhead standardise rewards,epymarl_acct_qhead_smoke.json,standardise\_rewards=False,PASS
epymarl learned qhead loss,epymarl_acct_qhead_smoke.json,acct\_q\_loss=0.034,PASS
epymarl comparison mappo sample return,epymarl_lbf_comparison_summary.csv,0.278 \pm 0.255,PASS
epymarl comparison acct sample return,epymarl_lbf_comparison_summary.csv,0.000 \pm 0.000,PASS
epymarl comparison acct greedy return,epymarl_lbf_comparison_summary.csv,0.000 \pm 0.000,PASS
epymarl comparison sample diff,epymarl_lbf_comparison_stat_tests.csv,-0.278,PASS
epymarl comparison sample diff interval,epymarl_lbf_comparison_stat_tests.csv,"[-0.500,0.000]",PASS
